code_assistant_type;prompt_type;dataset_name;report_path;error_count;code_messages_missing_snippets;msg_count;analysis_message_limit;exception
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-23-23-56-21.pdf;4;0;2;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-23-23-57-20.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-23-23-58-53.pdf;0;0;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-23-23-59-57.pdf;0;0;1;8;timed out
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-00-00-37.pdf;0;0;5;8;Invalid response or text not found
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-00-01-25.pdf;1;0;5;8;Invalid response or text not found
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-00-03-08.pdf;2;4;8;8;
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-00-04-44.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-00-06-44.pdf;2;0;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-00-07-47.pdf;0;0;3;8;timed out
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-00-09-05.pdf;0;0;3;8;timed out
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-00-10-02.pdf;0;0;3;8;timed out
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-00-10-49.pdf;4;0;2;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-00-11-54.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-00-23-00.pdf;1;1;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-00-24-08.pdf;0;0;5;8;Invalid response or text not found
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-00-24-55.pdf;0;0;5;8;Invalid response or text not found
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-00-25-30.pdf;2;1;5;8;Invalid response or text not found
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-00-28-23.pdf;2;3;8;8;
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-00-31-19.pdf;0;4;8;8;
